LoanID,DefaultFlag,DefaultDate
LOAN000001,No,
LOAN000002,No,
LOAN000003,No,
LOAN000004,No,
LOAN000005,No,
LOAN000006,Yes,2026-08-29
LOAN000007,No,
LOAN000008,No,
LOAN000009,No,
LOAN000010,No,
LOAN000011,No,
LOAN000012,No,
LOAN000013,No,
LOAN000014,No,
LOAN000015,No,
LOAN000016,No,
LOAN000017,No,
LOAN000018,No,
LOAN000019,No,
LOAN000020,No,
LOAN000021,No,
LOAN000022,Yes,2025-01-23
LOAN000023,No,
LOAN000024,No,
LOAN000025,No,
LOAN000026,No,
LOAN000027,Yes,2023-09-20
LOAN000028,Yes,2024-04-26
LOAN000029,No,
LOAN000030,Yes,2022-11-02
LOAN000031,No,
LOAN000032,No,
LOAN000033,No,
LOAN000034,No,
LOAN000035,No,
LOAN000036,No,
LOAN000037,No,
LOAN000038,No,
LOAN000039,No,
LOAN000040,No,
LOAN000041,No,
LOAN000042,No,
LOAN000043,No,
LOAN000044,No,
LOAN000045,No,
LOAN000046,No,
LOAN000047,No,
LOAN000048,No,
LOAN000049,No,
LOAN000050,No,
LOAN000051,No,
LOAN000052,No,
LOAN000053,No,
LOAN000054,No,
LOAN000055,No,
LOAN000056,No,
LOAN000057,No,
LOAN000058,No,
LOAN000059,No,
LOAN000060,No,
LOAN000061,No,
LOAN000062,No,
LOAN000063,No,
LOAN000064,No,
LOAN000065,No,
LOAN000066,No,
LOAN000067,No,
LOAN000068,No,
LOAN000069,No,
LOAN000070,No,
LOAN000071,No,
LOAN000072,No,
LOAN000073,No,
LOAN000074,No,
LOAN000075,No,
LOAN000076,No,
LOAN000077,No,
LOAN000078,Yes,07/12/2021
LOAN000079,No,
LOAN000080,No,
LOAN000081,No,
LOAN000082,No,
LOAN000083,No,
LOAN000084,No,
LOAN000085,No,
LOAN000086,No,
LOAN000087,No,
LOAN000088,No,
LOAN000089,No,
LOAN000090,No,
LOAN000091,No,
LOAN000092,No,
LOAN000093,No,
LOAN000094,No,
LOAN000095,No,
LOAN000096,No,
LOAN000097,No,
LOAN000098,No,
LOAN000099,No,
LOAN000100,No,
LOAN000101,Yes,07/02/2025
LOAN000102,No,
LOAN000103,No,
LOAN000104,Yes,25/04/2023
LOAN000105,No,
LOAN000106,No,
LOAN000107,No,
LOAN000108,No,
LOAN000109,No,
LOAN000110,No,
LOAN000111,No,
LOAN000112,No,
LOAN000113,No,
LOAN000114,No,
LOAN000115,No,
LOAN000116,No,
LOAN000117,No,
LOAN000118,No,
LOAN000119,No,
LOAN000120,No,
LOAN000121,No,
LOAN000122,No,
LOAN000123,No,
LOAN000124,No,
LOAN000125,No,
LOAN000126,No,
LOAN000127,No,
LOAN000128,Yes,14/01/2026
LOAN000129,No,
LOAN000130,No,
LOAN000131,No,
LOAN000132,No,
LOAN000133,No,
LOAN000134,No,
LOAN000135,No,
LOAN000136,Yes,12/05/2023
LOAN000137,No,
LOAN000138,No,
LOAN000139,No,
LOAN000140,No,
LOAN000141,No,
LOAN000142,No,
LOAN000143,No,
LOAN000144,No,
LOAN000145,Yes,14/07/2025
LOAN000146,No,
LOAN000147,No,
LOAN000148,No,
LOAN000149,No,
LOAN000150,No,
LOAN000151,No,
LOAN000152,No,
LOAN000153,No,
LOAN000154,No,
LOAN000155,No,
LOAN000156,No,
LOAN000157,Yes,12/09/2023
LOAN000158,No,
LOAN000159,No,
LOAN000160,No,
LOAN000161,No,
LOAN000162,No,
LOAN000163,No,
LOAN000164,No,
LOAN000165,No,
LOAN000166,No,
LOAN000167,Yes,12/12/2023
LOAN000168,No,
LOAN000169,No,
LOAN000170,No,
LOAN000171,No,
LOAN000172,No,
LOAN000173,No,
LOAN000174,No,
LOAN000175,No,
LOAN000176,Yes,2025-02-26
LOAN000177,No,
LOAN000178,No,
LOAN000179,No,
LOAN000180,No,
LOAN000181,No,
LOAN000182,No,
LOAN000183,No,
LOAN000184,No,
LOAN000185,No,
LOAN000186,No,
LOAN000187,No,
LOAN000188,No,
LOAN000189,No,
LOAN000190,No,
LOAN000191,No,
LOAN000192,No,
LOAN000193,No,
LOAN000194,No,
LOAN000195,No,
LOAN000196,No,
LOAN000197,No,
LOAN000198,No,
LOAN000199,No,
LOAN000200,No,
LOAN000201,No,
LOAN000202,No,
LOAN000203,No,
LOAN000204,Yes,2027-04-14
LOAN000205,No,
LOAN000206,No,
LOAN000207,No,
LOAN000208,No,
LOAN000209,No,
LOAN000210,No,
LOAN000211,No,
LOAN000212,No,
LOAN000213,Yes,2023-04-23
LOAN000214,No,
LOAN000215,No,
LOAN000216,No,
LOAN000217,No,
LOAN000218,No,
LOAN000219,No,
LOAN000220,No,
LOAN000221,No,
LOAN000222,No,
LOAN000223,No,
LOAN000224,Yes,2023-08-25
LOAN000225,No,
LOAN000226,No,
LOAN000227,No,
LOAN000228,No,
LOAN000229,No,
LOAN000230,Yes,09/05/2025
LOAN000231,No,
LOAN000232,No,
LOAN000233,No,
LOAN000234,No,
LOAN000235,No,
LOAN000236,No,
LOAN000237,No,
LOAN000238,No,
LOAN000239,No,
LOAN000240,No,
LOAN000241,No,
LOAN000242,No,
LOAN000243,No,
LOAN000244,Yes,02/01/2027
LOAN000245,No,
LOAN000246,No,
LOAN000247,No,
LOAN000248,No,
LOAN000249,No,
LOAN000250,Yes,2021-12-20
LOAN000251,No,
LOAN000252,No,
LOAN000253,No,
LOAN000254,No,
LOAN000255,No,
LOAN000256,No,
LOAN000257,No,
LOAN000258,No,
LOAN000259,No,
LOAN000260,No,
LOAN000261,No,
LOAN000262,No,
LOAN000263,No,
LOAN000264,No,
LOAN000265,No,
LOAN000266,Yes,11/08/2022
LOAN000267,No,
LOAN000268,No,
LOAN000269,No,
LOAN000270,No,
LOAN000271,No,
LOAN000272,No,
LOAN000273,No,
LOAN000274,No,
LOAN000275,No,
LOAN000276,No,
LOAN000277,No,
LOAN000278,No,
LOAN000279,No,
LOAN000280,No,
LOAN000281,No,
LOAN000282,No,
LOAN000283,No,
LOAN000284,No,
