LoanID,CustomerID,LoanType,Amount,InterestRate,TermMonths,DisbursementDate
LOAN000001,CUST002777,Home,801845.58,24.28,180,13/06/2024
LOAN000002,CUST001924,Vehicle,439704.57,9.13,48,04/10/2025
LOAN000003,CUST001495,Personal,103289.08,19.85,48,29/12/2022
LOAN000004,CUST000167,Home,984480.99,18.07,240,24/04/2022
LOAN000005,CUST000072,Vehicle,485068.92,18.2,12,05/11/2023
LOAN000006,CUST002763,Personal,28414.15,14.11,24,02/12/2025
LOAN000007,CUST000521,Personal,118148.04,22.08,24,2022-01-09
LOAN000008,CUST001483,Home,1360403.83,19.56,120,06/02/2025
LOAN000009,CUST002624,Vehicle,139289.18,17.71,48,2025-12-01
LOAN000010,CUST002904,Home,1493568.32,21.92,360,2025-07-16
LOAN000011,CUST002296,Home,1156662.92,17.45,240,2024-10-13
LOAN000012,CUST002279,Vehicle,254857.34,23.48,48,2025-05-07
LOAN000013,CUST002016,Personal,51203.45,23.06,36,2022-05-11
LOAN000014,CUST001033,Personal,46134.77,14.19,240,22/04/2026
LOAN000015,CUST000639,Vehicle,512512.29,7.9,240,2024-02-08
LOAN000016,CUST002693,Personal,141649.63,14.59,240,24/02/2025
LOAN000017,CUST001081,Personal,117908.63,22.43,36,2024-10-08
LOAN000018,CUST000141,Vehicle,81359.14,19.49,240,2026-02-21
LOAN000019,CUST001545,Personal,84185.13,21.24,120,31/03/2023
LOAN000020,CUST000587,Personal,90438.1,16.12,24,2025-06-06
LOAN000021,CUST000961,Home,644960.96,13.07,180,27/03/2023
LOAN000022,CUST000823,Vehicle,450639.55,21.63,240,2023-05-04
LOAN000023,CUST002438,Personal,13245.34,17.74,240,2025-10-11
LOAN000024,CUST002178,Vehicle,81846.78,24.33,36,2023-09-08
LOAN000025,CUST000265,Vehicle,254679.6,13.33,36,2025-12-12
LOAN000026,CUST002893,Vehicle,199659.87,11.34,36,17/05/2025
LOAN000027,CUST002187,Home,712150.56,23.44,180,2023-06-22
LOAN000028,CUST002602,Vehicle,592223.56,14.97,120,2022-08-05
LOAN000029,CUST002857,Home,1770868.95,24.58,360,26/07/2024
LOAN000030,CUST000362,Personal,131413.17,8.13,240,07/12/2021
